0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
742661023,0,4,SOL SCHWARTZ & ASSOCIATES PC,SAN ANTONIO,TX,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
562629114,0,0,KBL LLP,BROOKLYN,NY,2014,0,0,0,0,0,0,0,0,0,0,0,116465,0,0,0,0,0,115662,0,0,1843,1,1,1,2,2
270678774,0,0,Davis & Deal CPAs,GLENDORA,CA,2014,0,0,0,0,0,0,0,0,0,0,0,39959,0,0,0,0,0,33918,0,0,54443,1,1,1,2,2
464114252,0,0,CBIZ Tofias,NEWPORT,RI,2014,0,0,0,0,0,0,0,0,0,0,0,22881,0,0,0,0,0,7832,0,0,15049,1,1,1,2,2
510311790,0,0,RAYMOND F BOOK & ASSOCIATES PA,DOVER,DE,2014,TO PROVIDE EMERGENCY SHELTER FOR HOMELESS FAMILIES & INDIVIDUALS.,1988,250,15,0,0,0,212707,211989,0,0,430457,397050,0,0,234767,0,464318,44864,0,731151,1,1,1,1,1
261460932,0,0,Larry D Sturgill CPA PC,WISE,VA,2014,TO PROVIDE SUPPORT TO THE LOCAL FIRE DEPARTMENT FOR THE DEVELOPMENT AND MAINTANCE OF BUILDINGS AND EQUIMENT.,2007,6,0,0,0,0,0,0,0,0,26316,39125,0,0,0,0,27439,0,0,107296,1,1,1,1,1
270609504,0,0,MORGENSTERN WAXMAN ELLERSHAW,DETROIT,MI,2014,HELPS FAITH GROUPS WHO CARE FOR THE HOMELESS REPAIR THE SPACES IN WHICH THEY CARRY OUT THEIR WORK,2009,100,0,0,0,6107,0,422237,0,0,422237,457735,298467,0,0,6107,384828,0,0,252121,1,1,1,1,1
205710892,0,0,Douglass Mischley and Associates,ELK GROVE,CA,2014,0,0,0,0,0,305,0,0,0,0,0,36594,0,0,0,0,0,52857,0,0,6299,1,1,1,2,2
251910030,0,0,Chek Tan and Company,SAN FRANCISCO,CA,2014,0,0,0,0,0,0,0,0,0,0,0,3505,0,0,0,0,0,19116,0,0,15794,1,1,1,2,2
521548962,0,0,RUBINO AND COMPANY CHARTERED,ROCKVILLE,MD,2014,TRANSPORTATION RELATED EDUCATION,1987,26,0,0,0,13450,0,2500,0,0,60067,73386,1000,0,14420,1673,50912,0,0,1547356,1,1,1,1,1
731653383,0,1,METCALF HODGES PS,FERNDALE,WA,2014,CHARITABLE AND BENEVOLENT SERVICES PROMOTING THE OBJECT OF ROTARY INTERNATIONAL.,2002,25,0,0,8557,0,0,5945,0,0,31454,37923,15452,0,0,0,28123,0,0,30478,1,2,1,1,1
010706544,0,0,NEW HORIZON ACADEMY FOR EXCEPTIONAL STUDENTSINC,Ocala,FL,2013,0,0,0,0,0,0,0,0,0,0,0,141515,0,0,0,0,0,162890,0,0,22472,1,1,1,2,2
274563334,0,0,ROBERTS ALEXONIS GROUP PLLC,Tucson,AZ,2014,0,0,0,0,0,0,0,0,0,0,0,72211,0,0,0,0,0,137300,0,0,17389,1,1,1,2,2
262511957,0,0,MYTEAM TRIUMPH INC,ADA,MI,2014,0,0,0,0,0,51187,0,0,0,0,0,57813,0,0,0,0,0,51143,0,0,22380,1,1,1,2,2
272260017,0,0,Dittrich & Associates PLLC,Cincinnati,OH,2014,0,0,0,0,0,0,0,0,0,0,0,24409,0,0,0,0,0,42650,0,0,65349,1,1,1,2,2
271198702,0,0,MITCHELL & CO PC,LEESBURG,VA,2014,0,0,0,0,0,0,0,0,0,0,0,45253,0,0,0,0,0,34981,0,0,31675,1,1,1,2,2
841650210,0,0,ERICKSON DEMEL & CO PLLC,AUSTIN,TX,2014,0,0,0,0,0,0,0,0,0,0,0,131184,0,0,0,0,0,173337,0,0,22880,1,1,1,2,2
760294275,0,0,MURPHY & MURPHY CPA LLC,WASHINGTON,DC,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3863,0,0,70748,1,1,1,2,2
541250706,0,0,SCHEULEN PATCHETT & EDWARDS PC,WARRENTON,VA,2014,0,0,0,0,0,0,0,0,0,0,0,40536,0,0,0,0,0,34657,0,0,97838,1,1,1,2,2
270526903,0,0,Grace Tax Advisory Group LLC,North Fort Myers,FL,2014,0,0,0,0,0,4420,0,0,0,0,0,102319,0,0,0,0,0,102701,0,0,4100,1,1,1,2,2
346556495,0,0,BEREA ROTARY FOUNDATION INC,BEREA,OH,2014,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,250,0,0,59413,1,1,1,2,2
237324566,0,0,Parmelee Poirier & Associates LLP,NEWPORT,RI,2014,"TO ENCOURAGE CHARACTER BUILDING THROUGH SAIL TRAINING, PROMOTE SAIL TRAINING TO THE NORTH AMERICAN PUBLIC, AND SUPPORT EDUCATION UNDER SAIL.",1973,34,6,0,0,6403,0,136607,430724,0,607372,611188,7397,4215,316459,31205,608126,80000,0,112584,1,1,1,1,1
