0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
742661023,0,4,SOL SCHWARTZ & ASSOCIATES PC,SAN ANTONIO,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562629114,0,0,KBL LLP,BROOKLYN,NY,0,0,0,0,0,0,0,0,0,116465,0,0,0,0,0,115662,0,0,1843
270678774,0,0,Davis & Deal CPAs,GLENDORA,CA,0,0,0,0,0,0,0,0,0,39959,0,0,0,0,0,33918,0,0,54443
464114252,0,0,CBIZ Tofias,NEWPORT,RI,0,0,0,0,0,0,0,0,0,22881,0,0,0,0,0,7832,0,0,15049
510311790,0,0,RAYMOND F BOOK & ASSOCIATES PA,DOVER,DE,250,15,0,0,0,212707,211989,0,0,430457,397050,0,0,234767,0,464318,44864,0,731151
261460932,0,0,Larry D Sturgill CPA PC,WISE,VA,6,0,0,0,0,0,0,0,0,26316,39125,0,0,0,0,27439,0,0,107296
270609504,0,0,MORGENSTERN WAXMAN ELLERSHAW,DETROIT,MI,100,0,0,0,6107,0,422237,0,0,422237,457735,298467,0,0,6107,384828,0,0,252121
205710892,0,0,Douglass Mischley and Associates,ELK GROVE,CA,0,0,0,305,0,0,0,0,0,36594,0,0,0,0,0,52857,0,0,6299
251910030,0,0,Chek Tan and Company,SAN FRANCISCO,CA,0,0,0,0,0,0,0,0,0,3505,0,0,0,0,0,19116,0,0,15794
521548962,0,0,RUBINO AND COMPANY CHARTERED,ROCKVILLE,MD,26,0,0,0,13450,0,2500,0,0,60067,73386,1000,0,14420,1673,50912,0,0,1547356
731653383,0,1,METCALF HODGES PS,FERNDALE,WA,25,0,0,8557,0,0,5945,0,0,31454,37923,15452,0,0,0,28123,0,0,30478
010706544,0,0,NEW HORIZON ACADEMY FOR EXCEPTIONAL STUDENTSINC,Ocala,FL,0,0,0,0,0,0,0,0,0,141515,0,0,0,0,0,162890,0,0,22472
